I_real,I_seir,S_seir,E_seir,u_opt,beta_opt,R0_opt
2,0,507269.827226474,192.172658839774,0.440461917565407,0.180085676982584,1.26059973887809
1,0,507269.647188703,153.918164842239,0.440461917565407,0.180085676982584,1.26059973887809
0,0,507262.573999219,130.207721357765,0.440461917565407,0.180085676982584,1.26059973887809
1,0,507250.969848048,115.770328257072,0.440461917565407,0.180085676982584,1.26059973887809
0,21.6743481560435,507236.335910636,107.250200017944,0.440461917565407,0.180085676982584,1.26059973887809
1,17.3597842298236,507219.625044444,102.511026206163,0.440461917565407,0.180085676982584,1.26059973887809
2,14.6855827585043,507201.440924354,100.192941055531,0.440461917565407,0.180085676982584,1.26059973887809
2,13.0572497457889,507182.164844003,99.430433194945,0.440461917565407,0.180085676982584,1.26059973887809
0,12.0963002178804,507162.036451692,99.6727388669547,0.440461917565407,0.180085676982584,1.26059973887809
0,11.5617886812826,507141.205153253,100.569489533128,0.440461917565407,0.180085676982584,1.26059973887809
0,11.3003415799442,507119.762837917,101.897906961799,0.440461917565407,0.180085676982584,1.26059973887809
0,11.2143415165541,507097.764712645,103.516450841732,0.440461917565407,0.180085676982584,1.26059973887809
0,11.2416701569914,507075.242565364,105.335307954381,0.411969367726204,0.189255919880846,1.32479143916592
1,11.3428109033658,507051.04051723,108.470294497575,0.411969367726204,0.189255919880846,1.32479143916592
1,11.4926375333319,507026.313065245,111.503687583046,0.411969367726204,0.189255919880846,1.32479143916592
0,11.6751863088512,507001.016944048,114.49907126379,0.411969367726204,0.189255919880846,1.32479143916592
0,11.8803275737099,506975.118931908,117.497269150361,0.411969367726204,0.189255919880846,1.32479143916592
0,12.2339095567658,506948.592010972,120.524736256405,0.411969367726204,0.189255919880846,1.32479143916592
0,12.5760332398411,506921.412937403,123.598862574473,0.411969367726204,0.189255919880846,1.32479143916592
0,12.913870001581,506893.560702426,126.731325036757,0.411969367726204,0.189255919880846,1.32479143916592
1,13.2520241657925,506865.015556298,129.930206157348,0.411969367726204,0.189255919880846,1.32479143916592
1,13.5934794825036,506835.758387945,133.201333279079,0.411969367726204,0.189255919880846,1.32479143916592
0,13.9401972960351,506805.770329287,136.549125280663,0.411969367726204,0.189255919880846,1.32479143916592
0,14.2934945985921,506775.032501489,139.977128022999,0.411969367726204,0.189255919880846,1.32479143916592
0,14.654282983038,506743.525850812,143.488353094813,0.408455100135306,0.190386976511435,1.33270883558004
0,15.0232196909294,506711.038036456,147.278496831708,0.408455100135306,0.190386976511435,1.33270883558004
1,15.4008031090619,506677.737557065,151.123276857296,0.408455100135306,0.190386976511435,1.33270883558004
0,15.7874331602141,506643.59686125,155.039317300455,0.408455100135306,0.190386976511435,1.33270883558004
0,16.1834495088466,506608.590290385,159.038024704761,0.408455100135306,0.190386976511435,1.33270883558004
0,16.6109239238382,506572.69317773,163.12753241954,0.408455100135306,0.190386976511435,1.33270883558004
0,17.0445605366691,506535.881274885,167.31392878019,0.408455100135306,0.190386976511435,1.33270883558004
0,17.4862343131086,506498.130384843,171.602033066253,0.408455100135306,0.190386976511435,1.33270883558004
0,17.9372317493637,506459.416125374,175.995885922122,0.408455100135306,0.190386976511435,1.33270883558004
0,18.3984701717912,506419.713774624,180.499059487461,0.408455100135306,0.190386976511435,1.33270883558004
1,18.870636258204,506378.998168522,185.114853692213,0.408455100135306,0.190386976511435,1.33270883558004
1,19.3542735549281,506337.243630799,189.846420677144,0.408455100135306,0.190386976511435,1.33270883558004
2,19.8498377892968,506294.423923505,194.696843835069,0.402571341186146,0.192280646927846,1.34596452849492
0,20.3577318479601,506250.075445663,200.105952909869,0.402571341186146,0.192280646927846,1.34596452849492
1,20.8783279161752,506204.596403271,205.56380472015,0.402571341186146,0.192280646927846,1.34596452849492
1,21.4119815106782,506157.941651234,211.105795813687,0.402571341186146,0.192280646927846,1.34596452849492
0,21.9590403944118,506110.07069121,216.755596674186,0.402571341186146,0.192280646927846,1.34596452849492
3,22.5691111193997,506060.945652622,222.529515927157,0.402571341186146,0.192280646927846,1.34596452849492
0,23.1846793330797,506010.530012636,228.439252728173,0.402571341186146,0.192280646927846,1.34596452849492
1,23.8097372636105,505958.787781943,234.49363287515,0.402571341186146,0.192280646927846,1.34596452849492
2,24.4469546055679,505905.682984105,240.699704138005,0.402571341186146,0.192280646927846,1.34596452849492
1,25.0981707404195,505851.179319857,247.063427559116,0.402571341186146,0.192280646927846,1.34596452849492
10,25.7647051668521,505795.239947902,253.59011400197,0.402571341186146,0.192280646927846,1.34596452849492
6,26.4475533095946,505737.827339033,260.28470007078,0.402571341186146,0.192280646927846,1.34596452849492
