Feature_Names,Importance_RF,Importance_XGB
S_seir,0.00119390464179969,2.69147161313894e-05
E_seir,0.0810881665694199,0.00463469421081708
beta,0.000492994927950171,1.4994197839905e-05
u,0.000803064996959014,0.000166782102929345
R0,0.000294740906897252,0
I_lag_1,0.0515662168682683,0.0201734697277926
I_lag_3,0.0141358355251655,0.00185536901164696
I_lag_7,0.0226318432831559,0.000667253623681637
I_lag_14,0.0111839917351109,0.00172947751538776
MA_3,0.240282297736112,0.606559189041224
MA_7,0.118637172260862,0.000228831514715789
MA_14,0.0387120680736107,0.00118683723719826
dI_abs,0.0353947589113819,0.0580810923287667
dI_rel,0.0265390630452336,0.0319321901529622
I_exp_smooth,0.34012422424585,0.264987550092859
t,0.00107656812514776,0.000181274163061739
day_of_week,0.00180509659672196,4.36226425470674e-05
sin_weekly,0.00547708143754416,0.00516319607260813
cos_weekly,0.00305753707028865,0.00157791128062606
S_times_beta,0.00185795196362865,0.000743231381768785
u_times_R0,0.000660070410401254,4.61189854357065e-05
beta_div_u,0.00029301247230886,0
epidemic_indicator,4.4121202541356e-05,0
cumulative_ratio,0.00264821699364092,0
