t,I_real,I_model,u_opt,R0_t,eta_acum
1,2,0,0.440461917565407,1.26059973887809,9.00719925474099e+15
2,1,0,0.440461917565407,1.26059973887809,2.27034383705035
3,0,0,0.440461917565407,1.26059973887809,0
4,1,0,0.440461917565407,1.26059973887809,0.756781279016782
5,0,21.6743481560435,0.440461917565407,1.26059973887809,-12.3020556895392
6,1,17.3597842298236,0.440461917565407,1.26059973887809,-7.4284670603307
7,2,14.6855827585043,0.440461917565407,1.26059973887809,-4.80010577252705
8,2,13.0572497457889,0.440461917565407,1.26059973887809,-3.58625125929689
9,0,12.0963002178804,0.440461917565407,1.26059973887809,-3.43284508134695
10,0,11.5617886812826,0.440461917565407,1.26059973887809,-2.91658174198092
11,0,11.3003415799442,0.440461917565407,1.26059973887809,-2.565566086259
12,0,11.2143415165541,0.440461917565407,1.26059973887809,-2.31458283169876
13,0,11.2416701569914,0.411969367726204,1.32479143916592,-2.13261949009708
14,1,11.3428109033658,0.411969367726204,1.32479143916592,-1.8198709535754
15,1,11.4926375333319,0.411969367726204,1.32479143916592,-1.72144908637361
16,0,11.6751863088512,0.411969367726204,1.32479143916592,-1.79419375870864
17,0,11.8803275737099,0.411969367726204,1.32479143916592,-1.71701524180234
18,0,12.2339095567658,0.411969367726204,1.32479143916592,-1.6687586912532
19,0,12.5760332398411,0.411969367726204,1.32479143916592,-1.62415727804578
20,0,12.913870001581,0.411969367726204,1.32479143916592,-1.58353643908987
21,1,13.2520241657925,0.411969367726204,1.32479143916592,-1.43013309908242
22,1,13.5934794825036,0.411969367726204,1.32479143916592,-1.40254482296305
23,0,13.9401972960351,0.411969367726204,1.32479143916592,-1.4844224818448
24,0,14.2934945985921,0.411969367726204,1.32479143916592,-1.45807949008514
25,0,14.654282983038,0.408455100135306,1.33270883558004,-1.43484149310565
26,0,15.0232196909294,0.408455100135306,1.33270883558004,-1.41439908673005
27,1,15.4008031090619,0.408455100135306,1.33270883558004,-1.30559345146189
28,0,15.7874331602141,0.408455100135306,1.33270883558004,-1.38019684905417
29,0,16.1834495088466,0.408455100135306,1.33270883558004,-1.36603864858657
30,0,16.6109239238382,0.408455100135306,1.33270883558004,-1.35539105388708
31,0,17.0445605366691,0.408455100135306,1.33270883558004,-1.34591689892483
32,0,17.4862343131086,0.408455100135306,1.33270883558004,-1.33764961863501
33,0,17.9372317493637,0.408455100135306,1.33270883558004,-1.33057494339302
