Modelo,RMSE_train,MAE_train,MAPE_train,R2_train,RMSE_test,MAE_test,MAPE_test,R2_test
Random Forest,20.1190629475347,7.6319932111529,2.04083468106976e+16,0.972388309863016,10.7212247138034,4.18392114661314,1.96358097650818e+17,0.973062818390854
Gradient Boosting,3.59589440413314,2.55713198034986,8.35531249378202e+15,0.999117953762128,8.51107248830341,3.30497017044744,1.60386046252088e+17,0.983024134116025
LSTM,41.8558557048435,25.5831689509814,1.47547397021447e+17,0.880493936146138,21.1424638252828,14.7096001078524,1.43203250803926e+18,0.895245051166555
Ensemble,20.0771844425405,10.9711379200529,5.85332303572189e+16,0.972503139547668,12.3813418806064,7.01477021887766,5.91833842392763e+17,0.964074833617686
