Modelo,RMSE_train,MAE_train,MAPE_train,R2_train,RMSE_test,MAE_test,MAPE_test,R2_test
Random Forest,11.789091366938,5.78630682744627,1.22051771066305e+16,0.987506450259612,9.90848234340842,3.90097962086288,1.27443110284437e+17,0.96251765601602
Gradient Boosting,3.07051193370754,2.10226937679711,1.75011682131821e+16,0.999152486231533,7.0043495869742,3.09376315681832,1.9508744537817e+17,0.981269555259493
LSTM,37.4302617117591,22.1182976948158,1.62174209171438e+17,0.874057905825703,21.3184566198731,11.2378237879554,7.95450142207143e+17,0.826490210631489
Ensemble,16.1712667669115,9.25597788443033,6.39601848304169e+16,0.97649213077837,11.8930403081244,5.6850966266388,3.67949888697336e+17,0.945999442443543
