Feature_Names,Importance_RF,Importance_XGB
S_seir,0.000831221868505188,6.52318970394872e-05
E_seir,0.0782452863013907,0.011883017447192
beta,0.00167720623798363,0
u,0.00165612123869651,0.000445983652024319
R0,0.0004842240198752,0
I_lag_1,0.0620931343759032,0.0102748154954053
I_lag_3,0.0141385898394586,0.000701879490189706
I_lag_7,0.0246890830167122,0.00040920886846247
I_lag_14,0.00794620081436018,0.000331093899699295
MA_3,0.276870772970851,0.650516496804085
MA_7,0.123643759988913,0.000230619619385842
MA_14,0.0683578666976458,0.000277360031016433
dI_abs,0.0162378184888271,0.0279751433019295
dI_rel,0.0196484753544127,0.0266944293901562
I_exp_smooth,0.293937126784197,0.267251765597385
t,0.000925599955297873,6.56875622950324e-06
day_of_week,0.000851251488074762,0.000106944390892457
sin_weekly,0.00169545292821895,0.000988300500402432
cos_weekly,0.00129466039005296,0.000347127323918053
S_times_beta,0.00247454937168194,0.00145379029909387
u_times_R0,0.000231447455642987,4.02232354936017e-05
beta_div_u,0.000945613728593679,0
epidemic_indicator,0.000176278199423745,0
cumulative_ratio,0.000948258485281239,0
