Modelo,RMSE_train,MAE_train,MAPE_train,R2_train,RMSE_test,MAE_test,MAPE_test,R2_test
Random Forest,10.8610982521943,5.43018106919564,1.18350043210707e+16,0.988876117769943,2.9342043755262,1.60003167441433,1.25346120501004e+17,0.9380512278728
Gradient Boosting,3.35580498186961,2.27787811912482,1.72029296668736e+16,0.998938054261969,2.48186219108231,1.67156685896717,2.45249783408449e+17,0.955679228870033
LSTM,37.0096906421353,21.9882116895541,1.29126853222821e+17,0.870836499272935,8.75310767641284,5.83130952438212,7.7633388780874e+17,0.448714558159145
Ensemble,15.7479010255288,9.07446358082873,5.26844463886186e+16,0.976614091257855,4.24029769802593,2.79396181488363,3.79302717770007e+17,0.870626693410173
