Feature_Names,Importance_RF,Importance_XGB
S_seir,0.000833698133359145,0.00213398512940191
E_seir,0.106470492396436,0.00259457863858443
beta,0.00180011236696776,8.02669082177033e-05
u,0.000978769799735397,9.85636213721861e-05
R0,0.000472402500464846,0
I_lag_1,0.079147417900379,0.0153829751464239
I_lag_3,0.027652651293424,0.00127307597509297
I_lag_7,0.0141231222772852,0.00024433067025258
I_lag_14,0.00220889790356131,0.000159655436001587
MA_3,0.227048024562331,0.506653796208052
MA_7,0.142994499297042,0.000605399095474596
MA_14,0.0624887935187844,0.000207878856758308
dI_abs,0.0171862211587944,0.0255229386482016
dI_rel,0.0123779970009431,0.0252949331357449
I_exp_smooth,0.290186199776205,0.416973907274088
t,0.00208795272593516,6.49669344870751e-05
day_of_week,0.00106037858289898,4.88635657294996e-05
sin_weekly,0.0015400035388279,0.000414710028033713
cos_weekly,0.00120010751552754,0.00110937031296953
S_times_beta,0.00201820816942989,0.00106367633372453
u_times_R0,0.00346947881758816,7.21280813883727e-05
beta_div_u,0.000816640283789713,0
epidemic_indicator,0.000125041064086761,0
cumulative_ratio,0.00171288941620184,0
