Modelo,RMSE_train,MAE_train,MAPE_train,R2_train,RMSE_test,MAE_test,MAPE_test,R2_test
Random Forest,18.7878385284277,7.12492751246352,1.95278337168162e+16,0.975351337289915,2.17869739600216,1.37989466521215,1.46678053835511e+17,0.958729934375544
Gradient Boosting,3.98490794415642,2.83072417778522,8.26269232043658e+15,0.998891141039358,2.26104946493903,1.62702946309744,2.15297681343203e+17,0.955551054960292
LSTM,41.2262566770926,25.3191001722379,1.40352361546838e+17,0.881317269410581,11.2939048998777,10.2248121426429,1.59330342922753e+18,-0.108994988730369
Ensemble,19.5245991889965,10.8363289489867,5.60476291946968e+16,0.973380249632509,4.73461691501562,4.07429521744485,6.47447539318184e+17,0.805100366937744
