Modelo,RMSE_train,MAE_train,MAPE_train,R2_train,RMSE_test,MAE_test,MAPE_test,R2_test
Random Forest,16.0151503450021,6.76735188314315,8.00489877347291e+15,0.979001692991292,2.01153674425684,1.0717575092479,3.31289692374822e+16,0.965319598274341
Gradient Boosting,3.5238603641125,2.43118099497253,1.84658382203007e+16,0.998983377721665,1.75997635942505,1.06311882693087,5.19103145898649e+16,0.973451386327673
LSTM,46.3452887096573,24.8082972422302,1.27970571711305e+17,0.82415362297732,9.17532711961542,4.94339188989603,3.26497733815202e+17,0.278441922621541
Ensemble,20.3039728370598,10.3331806848147,4.98168762143885e+16,0.96624918312933,3.94368536232989,2.07346696959947,1.284895050326e+17,0.866699218283376
