t_train,y_train,pred_random_forest_train,pred_gradient_boosting_train,pred_lstm_train,pred_ensemble_train
0,3,2.7885819691663,3.36139912805147,4.87871408462524,3.67623172728101
1,0,0.576112053388933,0.847642386184919,4.89219808578491,2.10531750845292
2,0,0.506650816953405,1.19304819639734,4.90568208694458,2.20179370009844
3,1,1.07053085498557,1.36745190934823,4.91916656494141,2.4523831097584
4,1,0.767479629315489,1.59594705611136,4.93265056610107,2.43202575050931
5,0,0.263342761686346,0.320050835826389,4.9461350440979,1.84317621387021
6,3,2.83072151616873,2.97380848628874,4.95961904525757,3.58804968257168
7,5,4.01973842087851,3.31988947551883,5.01669597625732,4.11877462421822
8,4,3.16084690723506,3.26253909553662,4.92873668670654,3.78404089649274
9,3,2.92642398787705,3.1728238017727,4.99716472625732,3.69880417196903
10,3,2.67951899150493,2.91757337256748,5.01854991912842,3.53854742773361
11,5,5.14628451811346,3.9215166161851,5.03921031951904,4.70233715127253
12,1,1.28738773407531,1.15269998090724,5.11040782928467,2.51683184808907
13,2,2.20202893904492,2.40141037411994,5.22019481658936,3.27454470991807
14,2,2.05795019086215,2.64256553324736,5.19219493865967,3.29757022092306
15,3,2.72511737742528,2.83156154530558,5.14158916473389,3.56608936248825
16,2,2.17835610737165,2.36097307365952,5.13840770721436,3.22591229608184
17,1,1.36010644608007,0.600620835215575,5.12500286102295,2.36191004743953
18,1,0.858185946347232,1.97766563310764,5.08255290985107,2.63946816310198
19,0,0.296662122180451,0.320050835826389,4.94288921356201,1.85320072385628
20,1,1.11131789834287,1.60741714983824,5.0122709274292,2.5770019918701
21,1,0.80950909111044,1.73433220239891,4.94898509979248,2.49760879776728
22,1,0.829058722456324,1.73433220239891,4.93312358856201,2.49883817113908
23,0,0.189438713448,0.193503804831729,4.86339092254639,1.74877781360871
24,0,0.369887056788134,0.953082955907333,4.84090709686279,2.05462570318609
25,2,2.14829212657902,2.1653512051028,4.82747173309326,3.04703835492503
26,3,2.07114453939667,3.09286010907584,4.81389904022217,3.32596789623156
27,3,2.20087098267702,3.12170467828735,4.84952831268311,3.39070132454916
28,1,1.16885013304142,1.01737006688441,4.83642864227295,2.34088294739959
29,2,1.94121908705754,2.49112566788386,4.84874248504639,3.09369574666259
30,3,2.46147098742102,2.74184625154166,4.86780834197998,3.35704186031422
31,0,0.317822730978668,0.26444611587439,4.94010448455811,1.84079111047039
32,0,0.5316222194862,1.14437834387371,4.98996257781982,2.22198771372658
33,0,0.37397259575797,1.54406205393153,4.96559429168701,2.29454298045884
34,1,1.04234409542443,1.60741714983824,4.92933940887451,2.52636688471239
35,1,0.735569959821255,1.73433220239891,4.89351940155029,2.45447385459015
36,1,0.783035904246879,1.73433220239891,4.92399883270264,2.48045564644948
37,2,1.50181116583074,2.26778205390086,4.86657238006592,2.87872186659917
38,1,0.854346602739913,0.600620835215575,4.79469585418701,2.08322109738083
39,3,3.00024921702251,2.74277416879891,4.84984874725342,3.53095737769161
40,1,0.724141932592428,1.05420180411514,4.85775279998779,2.21203217889845
41,1,0.90629452274344,1.89270716541218,4.88968944549561,2.56289704455041
42,1,0.810761699096725,1.73433220239891,4.89042949676514,2.47850779942026
43,4,3.72270037040479,3.2592281667525,4.91064739227295,3.96419197647674
44,8,6.75141494616495,6.33166260220246,4.9464750289917,6.0098508591197
45,2,1.78050289064221,0.566670594399587,4.97413921356201,2.44043756620127
46,2,2.67577089357158,2.65415954296001,5.0447416305542,3.45822402236193
47,0,0.363211655003312,0.621230489356865,5.00890636444092,1.99778283626703
48,0,0.475704108896533,1.19304819639734,5.09471416473389,2.25448882334259
49,1,1.0853727273397,1.69713244360216,5.12919902801514,2.63723473298567
50,0,0.209343833499909,0.283219098595653,5.18164348602295,1.89140213937284
51,0,0.363704077331819,1.19304819639734,5.09295177459717,2.21656801610877
52,4,3.266824683089,4.18517181091519,4.87485790252686,4.10895146551035
53,1,0.77743460718884,0.723967361332353,4.95810985565186,2.15317060805768
54,0,0.298119660611374,0.532338919563625,4.87584209442139,1.90210022486546
55,1,1.11309239729195,1.60741714983824,4.90279674530029,2.54110209747683
56,4,3.68898644544086,3.2592281667525,4.89873027801514,3.9489816300695
57,0,0.282716101862017,0.946140562977015,4.88646221160889,2.03843962548264
58,1,1.26572414888774,1.85550740661543,4.93623638153076,2.68582264567798
59,0,0.172400049497301,-0.0464614356582748,4.9871244430542,1.70435435229774
60,4,3.47008315778648,4.37646719888157,4.86126232147217,4.23593755938008
61,14,9.7250753968254,14.1088186527954,4.95497417449951,9.5962894080401
62,2,3.21003148897886,1.97838527163983,5.06497478485107,3.41779718182325
63,0,1.12213543224062,0.734377908126331,5.10420513153076,2.32023949063257
64,3,3.5806348230952,3.21350293605287,5.04597759246826,3.94670511720544
65,3,2.46944708552418,3.27168383428755,5.22708415985107,3.65607169322094
66,2,2.42201936967429,1.75334687588285,5.27228832244873,3.14921818933529
67,7,6.37615051615052,6.98866784908508,5.43130779266357,6.26537538596639
68,1,1.21746429184402,1.24334708243351,5.41441631317139,2.6250758958163
69,2,2.3954059295004,2.40141037411994,4.99777507781982,3.26486379381339
70,0,0.392677901155199,0.372110668388893,5.25454998016357,2.00644618323589
71,0,0.478131928141779,1.28276349016126,5.26796245574951,2.34295262468418
72,1,1.09083544038199,1.60741714983824,5.17347240447998,2.62390833156674
73,0,0.213342400366624,-0.0464614356582748,5.15502452850342,1.77396849773726
74,0,0.378355142103192,1.14437834387371,5.14134502410889,2.22135950336193
75,0,0.333208587217221,1.54406205393153,4.88437938690186,2.25388334268353
76,1,0.978369623336495,1.60741714983824,4.99717235565186,2.5276530429422
77,2,1.48660106129246,2.10940709088758,4.88731670379639,2.82777495199214
78,1,0.851760619283569,0.930301369469502,4.91502666473389,2.23236288449565
79,0,0.148012224756156,0.193503804831729,4.90442943572998,1.74864848843929
80,0,0.308480808787498,0.953082955907333,4.86919689178467,2.04358688549317
81,3,2.79494152088022,2.54342005676884,4.89651775360107,3.41162644375005
82,1,0.742189688576876,1.05420180411514,4.93221569061279,2.2428690611016
83,1,0.932240282745815,1.89270716541218,4.96473217010498,2.59655987275433
84,3,3.01248104226131,2.88115931508646,4.96495342254639,3.61953125996472
85,2,1.4757165754097,2.45068836742345,4.95035076141357,2.95891856808224
86,0,0.273090650949724,0.494683458362205,4.98824596405029,1.91867335778741
87,0,0.398585200912401,0.953082955907333,5.03858470916748,2.1300842886624
88,1,1.17965226410033,1.55874729731461,5.0761137008667,2.60483775409388
89,2,1.50215854245755,2.27077439180212,4.99442577362061,2.92245290262676
90,0,0.244129193091604,0.282395374624969,5.05803203582764,1.86151886784807
91,5,3.9947522239434,5.9473225119587,5.05114269256592,4.99773914282267
92,1,0.949345331346302,1.1158682436765,4.99865245819092,2.35462201107124
93,1,1.28851880039618,2.02633548563126,5.00727367401123,2.77404265334623
94,2,1.70526242325083,2.16144513362993,5.06471538543701,2.97714098077259
95,8,6.46634113109113,7.58667842279428,5.09679698944092,6.38327218110877
96,3,2.78434790935758,1.64362636797593,5.15052318572998,3.19283248768783
97,1,1.44227452404388,0.927654773120482,5.17318248748779,2.51437059488405
98,2,2.06152648907609,2.49112566788386,5.30043315887451,3.28436177194482
99,4,3.71938692847749,3.16100705961687,5.17051982879639,4.01697127229691
100,5,4.5811095541885,4.46279117577445,5.34217357635498,4.79535810210598
101,1,1.2015217503858,0.532671973365971,5.40548992156982,2.37989454844053
102,0,0.596794736524636,0.357122036045342,5.43870067596436,2.13087248284478
103,3,3.34957114568438,3.07842628072707,5.20954418182373,3.87918053607839
104,1,1.05246069768783,0.927654773120482,5.32213878631592,2.43408475237474
105,1,1.18577844525435,2.11605077939519,5.35050487518311,2.88411136661088
106,5,4.22175880976384,4.71055673186895,5.33504009246826,4.75578521136702
107,6,4.64936312371839,4.46279117577445,5.27411937713623,4.79542455887635
108,6,5.27385067783094,5.59359628049922,5.20543193817139,5.35762629883385
109,0,1.10927339124135,0.668422236777225,5.32760906219482,2.3684348967378
110,2,2.92263148742955,3.74219221994417,5.40561199188232,4.02347856641868
111,2,2.05110295224158,3.76507212239017,5.36617565155029,3.72745024206068
112,8,7.19567793317793,8.3377991211919,5.48890972137451,7.00746225858145
113,11,9.86282930141754,8.26889097000917,5.59521007537842,7.90897678226838
114,15,12.4935873015873,12.0644148384607,5.57387828826904,10.0439601427723
115,12,10.8159801587302,9.09048341720647,5.64626598358154,8.51757651983939
116,8,9.09565873015874,8.2178829126105,5.72072887420654,7.67809017232526
117,7,8.26841697191697,9.67597763633526,6.08465099334717,8.0096818671998
118,10,10.8937857142857,9.52560722290215,6.26235485076904,8.89391592931897
119,18,16.2942896825397,18.2978646817722,6.60840892791748,13.7335210974098
120,15,14.6798466810967,13.2219933518451,6.74217510223389,11.5480050450586
121,17,17.2684895382395,15.9959688685452,6.90284252166748,13.3891003094841
122,16,16.2864776334776,12.9267564965282,6.87439250946045,12.0292088798221
123,20,18.4047077922078,17.425057525799,7.13354778289795,14.3211043669683
124,17,17.3795079365079,16.692912640997,7.56623363494873,13.8795514041512
125,28,23.9657103174603,24.4041548959007,8.01064586639404,18.7935036932517
126,31,29.0808968253968,29.2956556040533,8.59032726287842,22.3222932307762
127,31,30.5329523809524,28.973549042026,8.8333158493042,22.7799390907608
128,25,26.4938015873016,27.789871334178,10.7438917160034,21.675854879161
129,34,33.5026547619048,35.3161764269424,12.2212476730347,27.0133596206273
130,43,39.2953809523809,38.2943906628556,15.0201444625854,30.8699720259407
131,32,33.021746031746,33.4173382854749,17.3384437561035,27.9258426911081
132,44,43.2837023809524,45.7903089059694,21.1047401428223,36.7262504765813
133,42,42.3666428571429,39.4171709047676,22.2114372253418,34.6650836624174
134,128,96.3477817460318,123.736648571567,24.4810600280762,81.521830115225
135,63,58.6070079365079,56.0199053137756,31.7083969116211,48.7784367206349
136,59,66.1068690476191,66.6183821445199,38.7591705322266,57.1614739081218
137,115,107.828361111111,114.786549033319,43.6753730773926,88.7634277406075
138,72,68.7015952380952,72.704516465636,51.3294486999512,64.2451868012275
139,86,92.1901746031746,87.2750659232267,61.624885559082,80.3633753618278
140,57,61.8539801587302,57.8849572723258,67.948371887207,62.562436439421
141,66,71.7697857142857,71.4598678988552,75.779541015625,73.0030648762553
142,90,91.5945912698413,84.9140817865396,61.4301605224609,79.3129445262806
143,88,86.3405634920635,88.3203877744423,74.8394546508789,83.1668019724616
144,64,65.0526309523809,65.6518158385846,77.0089492797852,69.2377986902502
145,71,76.0452341269841,73.5033836590733,66.2680587768555,71.9388921876376
146,52,54.1939285714285,52.5227631061586,72.7590637207031,59.8252517994301
147,104,102.538,108.047782145064,66.7301330566406,92.4386384005682
148,123,110.750523809524,114.198466895832,73.2260665893555,99.3916857649039
149,39,55.5106309523809,40.7057917814919,76.0219116210938,57.4127781183222
150,60,75.640126984127,76.8123779673709,70.8300704956055,74.4275251490345
151,121,108.293757936508,118.774098341968,69.5917129516602,98.8865230767119
152,79,72.3414841269841,76.2492199312419,76.5605087280273,75.0504042620845
153,87,94.1968492063492,98.8738006800713,76.4453964233398,89.8386821032534
154,89,89.3675396825397,87.6395257134604,83.9189147949219,86.9753267303073
155,87,85.9935793650794,87.3329800644603,76.9078979492188,83.4114857929195
156,106,105.446865079365,105.017192781061,71.5145874023438,93.9928817542568
157,91,88.6818452380952,91.4016104805016,87.3322296142578,89.1385617776182
158,120,120.447138888889,115.387921974156,87.8082580566406,107.881106306562
159,86,85.8361746031746,89.0216573640475,81.3450927734375,85.4009749135532
160,111,114.957182539683,112.50947298558,88.9163818359375,105.461012453733
161,87,88.8001984126984,92.1142578318183,88.9079437255859,89.9407999900342
162,128,121.384119047619,129.506904594786,90.6373291015625,113.842784247989
163,92,87.4258968253968,88.0451442333272,96.0341873168945,90.5017427918728
164,111,115.493376984127,113.390821166932,92.7256927490234,107.203296966694
165,79,82.2616944444444,79.2064204674279,97.4787368774414,86.3156172631046
166,102,106.509515873016,104.751405333302,92.0134429931641,101.09145473316
