Feature_Names,Importance_RF,Importance_XGB
S_seir,0.0025163748478083,5.10860095479832e-05
E_seir,0.0670994122987505,0.00816425467937521
beta,0.000926971073608922,0.000276400235571017
u,0.000927711805221344,0.000127441732675132
R0,0.000771398041891801,0
I_lag_1,0.0389037456068312,0.0129921107034582
I_lag_3,0.028949142141093,0.000771870496396431
I_lag_7,0.00713028828875808,0.000161146758356612
I_lag_14,0.00135906494641461,0.000392184386752223
MA_3,0.286266817890288,0.772248688555182
MA_7,0.193614190427206,0.000594614439605985
MA_14,0.0560922115906837,0.000251268993541126
dI_abs,0.026125209610962,0.0312579131972749
dI_rel,0.0192898616742302,0.024599939772806
I_exp_smooth,0.26037538342022,0.144947483634692
t,0.000893105949827439,2.46400860664434e-05
day_of_week,0.000430067298522853,4.31301885487173e-05
sin_weekly,0.00131899358164563,0.0019014167622467
cos_weekly,0.0013134539324856,0.000531963925077643
S_times_beta,0.00267794591247721,0.000606017427030585
u_times_R0,0.000561987671951782,5.64280157958815e-05
beta_div_u,0.00148380478693792,0
epidemic_indicator,0.000169003473318018,0
cumulative_ratio,0.000803853728866346,0
